epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0892,1.78183,3.13492,3.51678,1.70668,0,0.00333,1,0.72588,0.46742,0.00333,1,0.72588,0.42644,1.13029,2.58523,3.5326,1.21554,0,0.00018,0.00018,0.00018
2,122.899,1.18075,1.9944,2.10583,1.15,0,0.00805,1,0.91282,0.6354,0.00805,1,0.97441,0.66604,0.99126,1.6514,2.88808,1.01987,0,0.000372476,0.000372476,0.000372476
3,206.818,1.09412,2.4572,1.86573,1.10367,0,0.00333,1,0.92674,0.62998,0.00333,1,0.92674,0.54047,1.06132,2.70037,3.09214,1.07245,0,0.000557032,0.000557032,0.000557032
4,250.988,1.20351,2.04925,1.61438,1.13021,0,0.9333,0.75,0.89532,0.57169,0.9333,0.75,0.78955,0.39298,1.30587,3.56173,2.8505,1.29903,0,0.000733668,0.000733668,0.000733668
5,317.055,1.06019,1.74416,1.43297,1.07319,0,0.94882,0.7,0.96915,0.67178,0.94882,0.7,0.96915,0.63464,1.02387,1.71788,2.53617,1.07424,0,0.000902384,0.000902384,0.000902384
6,373.465,1.07474,1.77329,1.459,1.07461,0,0.91927,0.55,0.77972,0.46833,0.83417,0.5,0.68769,0.3471,1.40524,3.02323,2.92217,1.35384,0,0.00106318,0.00106318,0.00106318
7,416.868,1.05744,1.82707,1.40281,1.0615,0,1,0.84133,0.95035,0.59453,1,0.84133,0.95035,0.58799,1.20714,2.28035,2.0772,1.17815,0,0.00121606,0.00121606,0.00121606
8,459.839,0.94634,1.73649,1.30984,1.02141,0,0.99023,0.85,0.96708,0.70337,0.99023,0.85,0.96708,0.68816,0.90445,1.45036,1.89046,0.99378,0,0.00136101,0.00136101,0.00136101
9,502.504,0.96713,1.72389,1.37769,1.02374,0,0.78345,0.90465,0.92629,0.66061,0.82676,0.95465,0.95318,0.6479,1.00502,1.61126,1.94832,1.07551,0,0.00149805,0.00149805,0.00149805
10,545.249,0.95807,1.65796,1.37021,1.06898,0,0.90273,0.92862,0.95603,0.67556,0.90462,0.94847,0.96192,0.68057,1.01461,1.5583,1.76456,1.09896,0,0.00162716,0.00162716,0.00162716
11,593.859,0.86332,1.43793,1.31157,1.06116,0,0.93732,0.9,0.92608,0.67397,1,0.94489,0.94965,0.64248,0.92989,1.98519,1.81213,1.01423,0,0.001604,0.001604,0.001604
12,666.637,0.86417,1.47801,1.22783,1.0109,0,0.98954,0.85,0.89899,0.66584,0.98954,0.85,0.91157,0.66022,0.94668,1.67727,1.6922,1.01137,0,0.0015644,0.0015644,0.0015644
13,737.562,0.87253,1.32742,1.18841,1.0056,0,0.80972,0.75,0.83213,0.57834,0.71254,0.86805,0.86284,0.61756,1.00479,1.48565,1.99655,1.02875,0,0.0015248,0.0015248,0.0015248
14,809.799,0.84138,1.66265,1.11452,0.98409,0,0.56559,0.85,0.64322,0.4982,0.56559,0.85,0.65723,0.48788,0.91076,1.62107,2.34924,1.06418,0,0.0014852,0.0014852,0.0014852
15,881.295,0.87004,1.57554,1.0931,1.03986,0,0.78425,0.8,0.83473,0.61089,0.78425,0.8,0.83478,0.58323,0.9162,1.77099,1.86216,1.05937,0,0.0014456,0.0014456,0.0014456
16,952.479,0.87157,1.61345,1.09446,1.0196,0,0.94107,0.9,0.95055,0.733,0.94107,0.9,0.95318,0.71543,0.93948,1.58599,1.41676,1.03099,0,0.001406,0.001406,0.001406
17,1025.89,0.90259,1.59078,1.06886,1.01744,0,0.93339,1,0.99262,0.73219,0.93339,1,0.99262,0.76916,1.06033,1.27141,1.3283,1.05099,0,0.0013664,0.0013664,0.0013664
18,1097.24,0.84781,1.46441,0.9817,0.99661,0,1,0.99365,0.995,0.73764,1,0.99365,0.995,0.80334,1.00011,1.17129,1.45323,1.0224,0,0.0013268,0.0013268,0.0013268
19,1168.16,0.81822,1.77127,1.03082,0.98562,0,0.99775,1,0.995,0.72884,0.99775,1,0.995,0.76008,0.91609,1.35227,1.44766,0.99005,0,0.0012872,0.0012872,0.0012872
20,1240.59,0.79013,1.50493,0.96004,0.97589,0,1,0.99568,0.995,0.7713,1,0.99568,0.995,0.7748,0.77018,1.3029,1.19962,0.94472,0,0.0012476,0.0012476,0.0012476
21,1312.37,0.87393,1.73099,0.99614,1.00979,0,1,0.99594,0.995,0.77891,1,0.99594,0.995,0.80547,0.75772,1.13341,1.0906,0.94001,0,0.001208,0.001208,0.001208
22,1384.58,0.78802,1.48519,0.8923,0.99445,0,0.99534,0.95,0.99045,0.82316,0.99534,0.95,0.99045,0.80198,0.69358,1.2097,1.03855,0.91815,0,0.0011684,0.0011684,0.0011684
23,1455.42,0.77148,1.41413,0.88009,0.95283,0,0.99243,0.95,0.98848,0.80856,0.99243,0.95,0.98848,0.80064,0.71922,1.20105,1.064,0.93136,0,0.0011288,0.0011288,0.0011288
24,1526.75,0.77729,1.42446,0.90109,1.00642,0,0.99545,0.95,0.99262,0.8092,0.99545,0.95,0.99262,0.79227,0.68135,1.27764,0.98384,0.89649,0,0.0010892,0.0010892,0.0010892
