#Serial	Relpath	Match-serial	Match-relpath	Choice-rank	Score
0	A04_17_01_W_roh.jpg	-1	NONE	0	NaN
1	A04_17_02_W_roh.jpg	-1	NONE	0	NaN
2	A06_08_04_W_roh.jpg	-1	NONE	0	NaN
3	A06_14_02_W_roh.jpg	-1	NONE	0	NaN
4	A06_17_01_M_roh_-_Kopie.jpg	-1	NONE	0	NaN
5	A06_17_02_W__roh.jpg	-1	NONE	0	NaN
6	A06_17_04_W_roh.jpg	-1	NONE	0	NaN
7	A07_08_03_W_roh.jpg	-1	NONE	0	NaN
8	A07_08_04_M_roh.jpg	-1	NONE	0	NaN
9	A07_09_02_W_roh.jpg	-1	NONE	0	NaN
10	A07_09_03_W_roh.jpg	-1	NONE	0	NaN
11	A07_17_03_W_roh.jpg	8	A07_08_04_M_roh.jpg	1	0,050765
12	A07_17_06_W_roh.jpg	-1	NONE	0	NaN
13	A08_09_35_W_roh.jpg	-1	NONE	0	NaN
14	A08_09_39_W_roh.jpg	-1	NONE	0	NaN
15	A08_17_17_W_roh.jpg	8	A07_08_04_M_roh.jpg	8	0,000003
16	H12_04_02_M_roh.jpg	-1	NONE	0	NaN
17	H12_06_03_M_roh.jpg	-1	NONE	0	NaN
18	IMG-20250607-WA0003.jpg	5	A06_17_02_W__roh.jpg	1	0,262467
19	IMG-20250607-WA0006.jpg	18	IMG-20250607-WA0003.jpg	1	0,621122
20	IMG-20250607-WA0007.jpg	15	A08_17_17_W_roh.jpg	1	0,047504
21	IMG-20250620-WA0039.jpg	-1	NONE	0	NaN
22	IMG-20250620-WA0041.jpg	-1	NONE	0	NaN
23	IMG-20250620-WA0042.jpg	21	IMG-20250620-WA0039.jpg	1	0,353358
24	IMG-20250626-WA0002.jpg	-1	NONE	0	NaN
25	IMG-20250626-WA0003.jpg	-1	NONE	0	NaN
26	IMG-20250626-WA0004.jpg	24	IMG-20250626-WA0002.jpg	1	0,632915
27	IMG-20250626-WA0006.jpg	25	IMG-20250626-WA0003.jpg	1	0,072466
28	IMG-20250626-WA0007.jpg	-1	NONE	0	NaN
29	IMG-20250626-WA0009.jpg	-1	NONE	0	NaN
30	IMG-20250626-WA0011.jpg	29	IMG-20250626-WA0009.jpg	1	0,793651
31	IMG-20250626-WA0013.jpg	-1	NONE	0	NaN
32	IMG-20250626-WA0014.jpg	2	A06_08_04_W_roh.jpg	1	0,011504
33	IMG-20250626-WA0015.jpg	32	IMG-20250626-WA0014.jpg	1	0,302120
34	IMG-20250626-WA0016.jpg	-1	NONE	0	NaN
35	IMG-20250626-WA0020.jpg	34	IMG-20250626-WA0016.jpg	1	0,869565
36	IMG-20250626-WA0021.jpg	-1	NONE	0	NaN
37	IMG-20250626-WA0022.jpg	-1	NONE	0	NaN
38	IMG-20250626-WA0024.jpg	-1	NONE	0	NaN
39	IMG-20250626-WA0025.jpg	38	IMG-20250626-WA0024.jpg	1	0,558662
40	IMG-20250716-WA0006.jpg	-1	NONE	0	NaN
41	IMG-20250716-WA0011.jpg	-1	NONE	0	NaN
42	IMG-20250716-WA0016.jpg	-1	NONE	0	NaN
43	IMG-20250716-WA0022.jpg	-1	NONE	0	NaN
44	IMG-20250717-WA0009.jpg	-1	NONE	0	NaN
45	IMG-20250717-WA0011.jpg	-1	NONE	0	NaN
46	IMG-20250717-WA0012.jpg	-1	NONE	0	NaN
47	IMG-20250717-WA0013.jpg	-1	NONE	0	NaN
48	IMG-20250717-WA0017.jpg	-1	NONE	0	NaN
49	IMG-20250726-WA0007.jpg	-1	NONE	0	NaN
50	IMG-20250726-WA0009.jpg	49	IMG-20250726-WA0007.jpg	1	0,869570
51	IMG-20250726-WA0011.jpg	-1	NONE	0	NaN
52	IMG-20250726-WA0012.jpg	51	IMG-20250726-WA0011.jpg	1	0,387599
53	IMG-20250829-WA0013.jpg	48	IMG-20250717-WA0017.jpg	1	0,130552
54	IMG-20250829-WA0015.jpg	-1	NONE	0	NaN
55	IMG-20250829-WA0017.jpg	-1	NONE	0	NaN
56	IMG-20250829-WA0018.jpg	-1	NONE	0	NaN
57	IMG-20250829-WA0019.jpg	-1	NONE	0	NaN
58	IMG-20250829-WA0020.jpg	-1	NONE	0	NaN
59	IMG-20250829-WA0022.jpg	-1	NONE	0	NaN
60	IMG-20250829-WA0024.jpg	-1	NONE	0	NaN
61	IMG-20250910-WA0014.jpg	-1	NONE	0	NaN
62	IMG-20250910-WA0015.jpg	58	IMG-20250829-WA0020.jpg	1	0,149926
63	IMG-20250910-WA0016.jpg	54	IMG-20250829-WA0015.jpg	1	0,166668
64	IMG-20250910-WA0017.jpg	-1	NONE	0	NaN
65	IMG-20250910-WA0018.jpg	55	IMG-20250829-WA0017.jpg	1	0,202022
66	IMG-20250910-WA0022.jpg	-1	NONE	0	NaN
67	IMG-20250910-WA0023.jpg	-1	NONE	0	NaN
68	IMG-20250910-WA0025.jpg	61	IMG-20250910-WA0014.jpg	1	0,694448
69	IMG-20250910-WA0027.jpg	-1	NONE	0	NaN
70	IMG-20250910-WA0029.jpg	66	IMG-20250910-WA0022.jpg	1	0,598807
